,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
137,Queens,Rockaway Park,0,0,0,0,0
138,Staten Island,Stapleton,0,0,0,0,0
139,Staten Island,New Springville,0,0,0,0,0
140,Staten Island,New Dorp,0,0,0,0,0
141,Staten Island,Great Kills,0,0,0,0,0
142,Staten Island,Woodrow,0,0,0,0,0
143,Brooklyn,Ditmas Park,0,0,0,0,0
144,Brooklyn,Ditmas Park,0,0,0,0,0
145,Brooklyn,Ditmas Park,0,0,0,0,0
146,Brooklyn,Wingate,0,0,0,0,0
147,Brooklyn,Rugby,0,0,0,0,0
148,Staten Island,Midland Beach,0,0,0,0,0
149,Staten Island,Grant City,0,0,0,0,0
150,Staten Island,Bulls Head,0,0,0,0,0
151,Staten Island,Bulls Head,0,0,0,0,0
152,Staten Island,Bulls Head,0,0,0,0,0
153,Staten Island,Shore Acres,0,0,0,0,0
154,Staten Island,Clifton,0,0,0,0,0
155,Staten Island,Elm Park,0,0,0,0,0
156,Brooklyn,New Lots,0,0,0,0,0
157,Brooklyn,New Lots,0,0,0,0,0
158,Brooklyn,Mill Basin,0,0,0,0,0
159,Brooklyn,Mill Basin,0,0,0,0,0
160,Queens,Jamaica Hills,0,0,0,0,0
161,Queens,Astoria Heights,0,0,0,0,0
162,Bronx,Claremont Village,0,0,0,0,0
163,Bronx,Claremont Village,0,0,0,0,0
164,Bronx,Claremont Village,0,0,0,0,0
165,Bronx,Concourse Village,0,0,0,0,0
166,Bronx,Mount Eden,0,0,0,0,0
167,Manhattan,Sutton Place,0,0,0,0,0
168,Queens,Sunnyside Gardens,0,0,0,0,0
169,Brooklyn,Weeksville,0,0,0,0,0
170,Staten Island,Manor Heights,0,0,0,0,0
171,Brooklyn,Homecrest,0,0,0,0,0
172,Brooklyn,Homecrest,0,0,0,0,0
173,Brooklyn,Homecrest,0,0,0,0,0
174,Queens,Middle Village,0,0,0,0,0
175,Staten Island,Prince's Bay,0,0,0,0,0
176,Bronx,Allerton,0,0,0,0,0
177,Bronx,Kingsbridge Heights,0,0,0,0,0
178,Bronx,Kingsbridge Heights,0,0,0,0,0
179,Brooklyn,Erasmus,0,0,0,0,0
